longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-116.95,33.75,23.0,4676.0,1096.0,2770.0,1057.0,1.7847,109500.0
-117.3,34.05,7.0,4672.0,1121.0,2534.0,1046.0,3.4228,115700.0
-118.55,34.27,25.0,4919.0,661.0,2183.0,625.0,8.1356,352800.0
-119.68,36.32,28.0,1325.0,276.0,873.0,240.0,2.5833,54400.0
-118.13,33.83,44.0,1710.0,333.0,786.0,344.0,4.2917,314700.0
-117.11,32.76,31.0,2293.0,549.0,1108.0,557.0,3.3854,204400.0
-117.23,32.86,16.0,1675.0,354.0,604.0,332.0,5.2326,188300.0
-118.25,34.09,43.0,1903.0,635.0,1919.0,613.0,2.6336,174300.0
-118.34,34.11,51.0,937.0,348.0,527.0,333.0,4.3571,468800.0
-117.87,33.61,25.0,2267.0,359.0,866.0,348.0,7.79,500001.0
-121.94,37.95,18.0,2541.0,355.0,986.0,346.0,7.1978,288000.0
-118.4,34.7,10.0,4122.0,814.0,2164.0,710.0,4.2941,151600.0
-117.01,33.04,13.0,4595.0,567.0,1643.0,544.0,7.7684,362300.0
-120.62,35.11,18.0,2241.0,544.0,1521.0,509.0,2.0292,155800.0
-121.32,37.95,40.0,964.0,230.0,742.0,209.0,1.2625,43000.0
-121.55,39.1,27.0,1783.0,441.0,1163.0,409.0,1.2857,47000.0
-118.32,34.05,42.0,3292.0,713.0,2224.0,674.0,3.5517,291500.0
-118.02,33.83,26.0,3616.0,892.0,2257.0,821.0,3.1497,217600.0
-118.18,33.87,38.0,2664.0,626.0,1627.0,604.0,3.7527,161900.0
-117.96,33.68,24.0,6517.0,1279.0,3441.0,1198.0,4.25,152100.0
-117.1,34.21,22.0,4397.0,931.0,1145.0,445.0,4.5268,108400.0
-117.56,33.88,40.0,1196.0,294.0,1052.0,258.0,2.0682,113000.0
-121.01,37.68,33.0,828.0,123.0,373.0,133.0,5.5,146200.0
-118.29,34.07,24.0,4021.0,1707.0,3727.0,1529.0,1.7365,112500.0
-118.29,34.06,46.0,1759.0,1012.0,2716.0,877.0,2.1637,350000.0
-121.36,36.81,7.0,4609.0,741.0,1660.0,720.0,5.0871,290500.0
-122.44,37.72,49.0,1557.0,405.0,1173.0,385.0,3.4605,265000.0
-118.42,34.15,31.0,1861.0,430.0,736.0,360.0,5.2853,355900.0
-118.44,34.21,37.0,1665.0,335.0,1011.0,343.0,4.8703,185100.0
-122.06,37.96,37.0,1784.0,313.0,788.0,304.0,4.2917,189600.0
-118.39,34.08,52.0,1244.0,304.0,444.0,282.0,3.5114,430800.0
-118.62,34.21,26.0,3234.0,517.0,1597.0,513.0,6.1074,258600.0
-122.1,37.38,37.0,4167.0,612.0,1577.0,597.0,7.5655,500001.0
-122.03,38.0,25.0,3577.0,581.0,1753.0,593.0,5.7295,178300.0
-122.23,37.85,52.0,2800.0,411.0,1061.0,403.0,6.3434,373600.0
-119.56,36.53,19.0,2746.0,495.0,1670.0,518.0,3.2019,95700.0
-115.55,32.79,23.0,1004.0,221.0,697.0,201.0,1.6351,59600.0
-117.16,34.06,33.0,2101.0,468.0,1997.0,412.0,2.8125,117200.0
-122.02,37.01,20.0,1005.0,138.0,345.0,129.0,10.0968,500001.0
-122.04,37.59,14.0,1727.0,302.0,1116.0,273.0,5.3428,243600.0
-119.35,36.32,10.0,3817.0,719.0,1686.0,714.0,3.8235,94600.0
-121.3,38.13,27.0,1004.0,192.0,470.0,192.0,2.8942,116700.0
-118.12,34.14,52.0,2337.0,352.0,981.0,328.0,5.8692,490400.0
-118.36,33.87,22.0,2114.0,541.0,1300.0,538.0,3.4208,290000.0
-117.81,33.73,23.0,3056.0,556.0,1508.0,555.0,4.7273,234200.0
-118.01,34.11,36.0,1722.0,320.0,794.0,322.0,4.2132,212200.0
-122.22,40.18,13.0,3719.0,803.0,1754.0,764.0,2.3517,88900.0
-118.12,33.97,33.0,3099.0,839.0,2025.0,750.0,3.183,191100.0
-118.15,33.77,52.0,2204.0,498.0,899.0,445.0,4.1765,393900.0
-114.64,34.83,10.0,2502.0,573.0,1152.0,481.0,1.7062,86800.0
-118.19,34.06,44.0,1734.0,364.0,1133.0,351.0,2.5132,163100.0
-118.34,33.83,34.0,1761.0,329.0,965.0,329.0,5.399,358500.0
-116.95,32.82,12.0,5535.0,1434.0,3112.0,1262.0,2.5949,108300.0
-116.01,33.51,24.0,2985.0,958.0,4042.0,905.0,1.7344,66400.0
-122.29,37.41,30.0,6373.0,854.0,2149.0,798.0,10.6868,500001.0
-118.42,33.97,44.0,1462.0,240.0,562.0,237.0,4.9375,365200.0
-118.01,33.74,25.0,8110.0,1264.0,3613.0,1232.0,6.0609,264900.0
-116.54,33.81,24.0,6087.0,1217.0,1721.0,833.0,3.1493,199400.0
-117.12,34.1,40.0,96.0,14.0,46.0,14.0,3.2708,162500.0
-118.72,34.28,17.0,2654.0,478.0,1392.0,451.0,5.4459,223900.0
-117.7,33.6,25.0,1321.0,295.0,396.0,278.0,3.1131,77100.0
-118.22,33.97,43.0,381.0,67.0,259.0,60.0,3.0313,166100.0
-121.7,37.98,9.0,3079.0,519.0,1562.0,512.0,5.1041,172900.0
-121.33,38.63,23.0,1947.0,409.0,866.0,400.0,2.7181,156800.0
-121.99,37.34,26.0,3637.0,933.0,2249.0,905.0,3.9625,262900.0
-118.39,33.89,30.0,2532.0,464.0,1056.0,419.0,6.3434,460400.0
-122.37,40.58,25.0,2054.0,495.0,835.0,475.0,2.1538,76900.0
-123.35,40.99,23.0,141.0,59.0,47.0,23.0,1.125,66000.0
-118.63,34.18,32.0,1646.0,242.0,697.0,233.0,6.6689,433000.0
-121.87,37.42,19.0,12128.0,2112.0,6810.0,2040.0,6.4419,264500.0
-121.04,37.5,33.0,613.0,123.0,343.0,116.0,3.1875,129200.0
-118.33,33.98,30.0,3112.0,931.0,2739.0,841.0,1.6531,118500.0
-121.94,37.34,36.0,3142.0,632.0,1372.0,560.0,5.0175,246100.0
-122.4,37.6,52.0,1380.0,203.0,530.0,210.0,6.221,420300.0
-118.46,34.2,22.0,4855.0,1350.0,2519.0,1258.0,3.0893,205600.0
-117.84,34.63,5.0,6739.0,1251.0,4614.0,1266.0,4.002,115100.0
-117.29,34.41,11.0,5934.0,1380.0,2756.0,1239.0,1.5758,108300.0
-120.88,38.45,25.0,1374.0,297.0,657.0,288.0,2.5476,97900.0
-120.98,37.64,39.0,2617.0,659.0,2052.0,642.0,1.6952,65000.0
-117.1,32.7,42.0,2002.0,488.0,1505.0,464.0,1.5057,86300.0
-117.81,33.69,5.0,1256.0,256.0,880.0,288.0,2.4233,450000.0
-118.85,34.18,11.0,5873.0,1455.0,3089.0,1365.0,3.5504,173800.0
-117.01,32.76,34.0,3415.0,608.0,1464.0,593.0,4.0549,223700.0
-121.33,38.64,27.0,2203.0,493.0,1158.0,492.0,2.4342,119500.0
