longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,longitude^2,longitude latitude,longitude housing_median_age,longitude total_rooms,longitude total_bedrooms,longitude population,longitude households,longitude median_income,latitude^2,latitude housing_median_age,latitude total_rooms,latitude total_bedrooms,latitude population,latitude households,latitude median_income,housing_median_age^2,housing_median_age total_rooms,housing_median_age total_bedrooms,housing_median_age population,housing_median_age households,housing_median_age median_income,total_rooms^2,total_rooms total_bedrooms,total_rooms population,total_rooms households,total_rooms median_income,total_bedrooms^2,total_bedrooms population,total_bedrooms households,total_bedrooms median_income,population^2,population households,population median_income,households^2,households median_income,median_income^2,longitude^3,longitude^2 latitude,longitude^2 housing_median_age,longitude^2 total_rooms,longitude^2 total_bedrooms,longitude^2 population,longitude^2 households,longitude^2 median_income,longitude latitude^2,longitude latitude housing_median_age,longitude latitude total_rooms,longitude latitude total_bedrooms,longitude latitude population,longitude latitude households,longitude latitude median_income,longitude housing_median_age^2,longitude housing_median_age total_rooms,longitude housing_median_age total_bedrooms,longitude housing_median_age population,longitude housing_median_age households,longitude housing_median_age median_income,longitude total_rooms^2,longitude total_rooms total_bedrooms,longitude total_rooms population,longitude total_rooms households,longitude total_rooms median_income,longitude total_bedrooms^2,longitude total_bedrooms population,longitude total_bedrooms households,longitude total_bedrooms median_income,longitude population^2,longitude population households,longitude population median_income,longitude households^2,longitude households median_income,longitude median_income^2,latitude^3,latitude^2 housing_median_age,latitude^2 total_rooms,latitude^2 total_bedrooms,latitude^2 population,latitude^2 households,latitude^2 median_income,latitude housing_median_age^2,latitude housing_median_age total_rooms,latitude housing_median_age total_bedrooms,latitude housing_median_age population,latitude housing_median_age households,latitude housing_median_age median_income,latitude total_rooms^2,latitude total_rooms total_bedrooms,latitude total_rooms population,latitude total_rooms households,latitude total_rooms median_income,latitude total_bedrooms^2,latitude total_bedrooms population,latitude total_bedrooms households,latitude total_bedrooms median_income,latitude population^2,latitude population households,latitude population median_income,latitude households^2,latitude households median_income,latitude median_income^2,housing_median_age^3,housing_median_age^2 total_rooms,housing_median_age^2 total_bedrooms,housing_median_age^2 population,housing_median_age^2 households,housing_median_age^2 median_income,housing_median_age total_rooms^2,housing_median_age total_rooms total_bedrooms,housing_median_age total_rooms population,housing_median_age total_rooms households,housing_median_age total_rooms median_income,housing_median_age total_bedrooms^2,housing_median_age total_bedrooms population,housing_median_age total_bedrooms households,housing_median_age total_bedrooms median_income,housing_median_age population^2,housing_median_age population households,housing_median_age population median_income,housing_median_age households^2,housing_median_age households median_income,housing_median_age median_income^2,total_rooms^3,total_rooms^2 total_bedrooms,total_rooms^2 population,total_rooms^2 households,total_rooms^2 median_income,total_rooms total_bedrooms^2,total_rooms total_bedrooms population,total_rooms total_bedrooms households,total_rooms total_bedrooms median_income,total_rooms population^2,total_rooms population households,total_rooms population median_income,total_rooms households^2,total_rooms households median_income,total_rooms median_income^2,total_bedrooms^3,total_bedrooms^2 population,total_bedrooms^2 households,total_bedrooms^2 median_income,total_bedrooms population^2,total_bedrooms population households,total_bedrooms population median_income,total_bedrooms households^2,total_bedrooms households median_income,total_bedrooms median_income^2,population^3,population^2 households,population^2 median_income,population households^2,population households median_income,population median_income^2,households^3,households^2 median_income,households median_income^2,median_income^3,median_house_value
-116.95,33.75,23.0,4676.0,1096.0,2770.0,1057.0,1.7847,13677.3025,-3947.0625,-2689.85,-546858.2000000001,-128177.2,-323951.5,-123616.15000000001,-208.720665,1139.0625,776.25,157815.0,36990.0,93487.5,35673.75,60.233624999999996,529.0,107548.0,25208.0,63710.0,24311.0,41.0481,21864976.0,5124896.0,12952520.0,4942532.0,8345.2572,1201216.0,3035920.0,1158472.0,1956.0312,7672900.0,2927890.0,4943.619,1117249.0,1886.4279,3.1851540899999997,-1599560.527375,461608.95937500003,314577.9575,63955066.49000001,14990323.54,37886127.925000004,14456908.742500002,24409.88177175,-133213.359375,-90782.4375,-18456464.25,-4325980.5,-10933363.125,-4172045.0625,-7044.322443749999,-61866.55,-12577738.6,-2948075.6,-7450884.5,-2843171.45,-4800.575295,-2557108943.2000003,-599356587.2,-1514797214.0,-578029117.4,-975977.8295400001,-140482211.20000002,-355050844.0,-135483300.4,-228757.84884,-897345655.0,-342416735.5,-578156.24205,-130662270.55,-220617.742905,-372.5037708255,38443.359375,26198.4375,5326256.25,1248412.5,3155203.125,1203989.0625,2032.8848437499998,17853.75,3629745.0,850770.0,2150212.5,820496.25,1385.373375,737942940.0,172965240.0,437147550.0,166810455.0,281652.4305,40541040.0,102462300.0,39098430.0,66016.053,258960375.0,98816287.5,166847.14125,37707153.75,63666.941625,107.4989505375,12167.0,2473604.0,579784.0,1465330.0,559153.0,944.1062999999999,502894448.0,117872608.0,297907960.0,113678236.0,191940.9156,27627968.0,69826160.0,26644856.0,44988.717599999996,176476700.0,67341470.0,113703.237,25696727.0,43387.8417,73.25854407,102240627776.0,23964013696.0,60565983520.0,23111279632.0,39022422.6672,5616886016.0,14195961920.0,5417015072.0,9146401.8912,35878480400.0,13690813640.0,23116362.444,5224256324.0,8820936.860399999,14893.780524839998,1316532736.0,3327368320.0,1269685312.0,2143810.1952,8409498400.0,3208967440.0,5418206.424,1224504904.0,2067524.9784,3490.9288826399998,21253933000.0,8110255300.0,13693824.629999999,3094779730.0,5225405.283,8822.8768293,1180932193.0,1993954.2903,3366.70787313,5.684544504422999,109500.0
-117.3,34.05,7.0,4672.0,1121.0,2534.0,1046.0,3.4228,13759.289999999999,-3994.0649999999996,-821.1,-548025.6,-131493.3,-297238.2,-122695.8,-401.49444,1159.4025,238.34999999999997,159081.59999999998,38170.049999999996,86282.7,35616.299999999996,116.54633999999999,49.0,32704.0,7847.0,17738.0,7322.0,23.959600000000002,21827584.0,5237312.0,11838848.0,4886912.0,15991.321600000001,1256641.0,2840614.0,1172566.0,3836.9588,6421156.0,2650564.0,8673.3752,1094116.0,3580.2488,11.715559840000001,-1613964.717,468503.82449999993,96315.03,64283402.879999995,15424164.089999998,34866040.86,14392217.34,47095.297812,-135997.91324999998,-27958.454999999994,-18660271.679999996,-4477346.864999999,-10120960.709999999,-4177791.9899999993,-13670.885681999998,-5747.7,-3836179.1999999997,-920453.1,-2080667.4,-858870.6,-2810.46108,-2560375603.2,-614336697.6,-1388696870.3999999,-573234777.6,-1875782.02368,-147403989.29999998,-333204022.2,-137541991.79999998,-450075.26723999996,-753201598.8,-310911157.2,-1017386.91096,-128339806.8,-419963.18424,-1374.235169232,39477.655125,8115.817499999998,5416728.479999999,1299690.2024999997,2937925.9349999996,1212735.0149999997,3968.402876999999,1668.4499999999998,1113571.2,267190.35,603978.8999999999,249314.09999999998,815.82438,743229235.1999999,178330473.6,403112774.4,166399353.6,544504.50048,42788626.05,96722906.69999999,39925872.3,130648.44713999999,218640361.79999998,90251704.19999999,295328.42556,37254649.8,121907.47163999999,398.914812552,343.0,228928.0,54929.0,124166.0,51254.0,167.71720000000002,152793088.0,36661184.0,82871936.0,34208384.0,111939.25120000001,8796487.0,19884298.0,8207962.0,26858.7116,44948092.0,18553948.0,60713.6264,7658812.0,25061.741599999998,82.00891888000001,101978472448.0,24468721664.0,55311097856.0,22831652864.0,74711454.5152,5871026752.0,13271348608.0,5478228352.0,17926271.5136,29999640832.0,12383435008.0,40522008.9344,5111709952.0,16726922.3936,54735.09557248001,1408694561.0,3184328294.0,1314446486.0,4301230.8148,7198115876.0,2971282244.0,9722853.599200001,1226504036.0,4013458.9047999997,13133.14258064,16271209304.0,6716529176.0,21978332.7568,2772489944.0,9072350.4592,29687.228634560004,1144445336.0,3744940.2448,12254.475592640001,40.100018220352005,115700.0
-118.55,34.27,25.0,4919.0,661.0,2183.0,625.0,8.1356,14054.102499999999,-4062.7085,-2963.75,-583147.45,-78361.55,-258794.65,-74093.75,-964.47538,1174.4329000000002,856.7500000000001,168574.13,22652.47,74811.41,21418.750000000004,278.80701200000004,625.0,122975.0,16525.0,54575.0,15625.0,203.39000000000001,24196561.0,3251459.0,10738177.0,3074375.0,40019.0164,436921.0,1442963.0,413125.0,5377.6316,4765489.0,1364375.0,17760.0148,390625.0,5084.75,66.18798736000001,-1666113.8513749999,481634.092675,351352.5625,69132130.19749999,9289761.7525,30680105.7575,8783814.0625,114338.55629899999,-139229.02029500002,-101567.71250000001,-19984463.1115,-2685450.3185,-8868892.6555,-2539192.8125000005,-33052.571272600006,-74093.75,-14578686.25,-1959038.75,-6469866.25,-1852343.75,-24111.8845,-2868502306.5499997,-385460464.45,-1273010883.35,-364467156.25,-4744254.39422,-51796984.55,-171063263.65,-48975968.75,-637518.22618,-564948720.9499999,-161746656.25,-2105449.75454,-46308593.75,-602797.1124999999,-7846.585901528001,40247.81548300001,29360.822500000006,5777035.4351,776300.1469000002,2563787.0207,734020.5625000002,9554.716301240001,21418.750000000004,4214353.25,566311.75,1870285.2500000002,535468.75,6970.175300000001,829216145.47,111427499.93,367997325.79,105358831.25000001,1371451.6920280003,14973282.670000002,49450342.010000005,14157793.750000002,184291.434932,163313308.03,46757131.25000001,608635.707196,13386718.750000002,174254.3825,2268.2623268272005,15625.0,3074375.0,413125.0,1364375.0,390625.0,5084.75,604914025.0,81286475.0,268454425.0,76859375.0,1000475.41,10923025.0,36074075.0,10328125.0,134440.78999999998,119137225.0,34109375.0,444000.37,9765625.0,127118.75,1654.6996840000002,119022883559.0,15993926821.0,52821092663.0,15122850625.0,196853541.6716,2149214399.0,7097934997.0,2032161875.0,26452569.8404,23441440391.0,6711360625.0,87361512.8012,1921484375.0,25011885.25,325578.70982384006,288804781.0,953798543.0,273075625.0,3554614.4875999996,3149988229.0,901851875.0,11739369.7828,258203125.0,3361019.75,43750.25964496,10403062487.0,2978430625.0,38770112.308400005,852734375.0,11100009.25,144488.37640688,244140625.0,3177968.75,41367.4921,538.4789899660161,352800.0
-119.68,36.32,28.0,1325.0,276.0,873.0,240.0,2.5833,14323.302400000002,-4346.7776,-3351.04,-158576.0,-33031.68,-104480.64,-28723.2,-309.169344,1319.1424,1016.96,48124.0,10024.32,31707.36,8716.8,93.825456,784.0,37100.0,7728.0,24444.0,6720.0,72.33239999999999,1755625.0,365700.0,1156725.0,318000.0,3422.8725,76176.0,240948.0,66240.0,712.9908,762129.0,209520.0,2255.2209,57600.0,619.992,6.67343889,-1714212.8312320004,520222.34316800005,401052.4672,18978375.68,3953231.4624,12504242.9952,3437592.5760000004,37001.387089920005,-157874.962432,-121709.7728,-5759480.32,-1199710.6176,-3794736.8448,-1043226.624,-11229.030574080001,-93829.12000000001,-4440128.0,-924887.04,-2925457.9200000004,-804249.6000000001,-8656.741632,-210113200.0,-43766976.0,-138436848.0,-38058240.0,-409649.38080000004,-9116743.68,-28836656.64,-7927603.2,-85330.73894400001,-91211598.72,-25075353.6,-269904.837312,-6893568.0,-74200.64256,-798.6771663552,47911.251968,36935.9872,1747863.68,364083.3024,1151611.3152,316594.176,3407.7405619200003,28474.88,1347472.0,280680.96,887806.08,244070.4,2627.112768,63764300.0,13282224.0,42012252.0,11549760.0,124318.7292,2766712.32,8751231.36,2405836.8,25895.825856000003,27680525.28,7609766.4,81909.623088,2092032.0,22518.10944,242.3793004848,21952.0,1038800.0,216384.0,684432.0,188160.0,2025.3071999999997,49157500.0,10239600.0,32388300.0,8904000.0,95840.43,2132928.0,6746544.0,1854720.0,19963.742400000003,21339612.0,5866560.0,63146.18519999999,1612800.0,17359.775999999998,186.85628892,2326203125.0,484552500.0,1532660625.0,421350000.0,4535306.0625,100933200.0,319256100.0,87768000.0,944712.81,1009820925.0,277614000.0,2988167.6925,76320000.0,821489.3999999999,8842.30652925,21024576.0,66501648.0,18282240.0,196785.4608,210347604.0,57827520.0,622440.9683999999,15897600.0,171117.792,1841.86913364,665338617.0,182910960.0,1968807.8456999997,50284800.0,541253.016,5825.91215097,13824000.0,148798.08,1601.6253336,17.239494684537,54400.0
-118.13,33.83,44.0,1710.0,333.0,786.0,344.0,4.2917,13954.696899999999,-3996.3378999999995,-5197.719999999999,-202002.3,-39337.29,-92850.18,-40636.72,-506.97852099999994,1144.4688999999998,1488.52,57849.299999999996,11265.39,26590.379999999997,11637.519999999999,145.18821099999997,1936.0,75240.0,14652.0,34584.0,15136.0,188.83479999999997,2924100.0,569430.0,1344060.0,588240.0,7338.807,110889.0,261738.0,114552.0,1429.1361,617796.0,270384.0,3373.2762,118336.0,1476.3447999999999,18.41868889,-1648468.3447969998,472087.3961269999,614006.6635999999,23862531.698999997,4646914.0677,10968391.7634,4800415.7336,59889.37268572999,-135196.11115699998,-175838.8676,-6833737.808999999,-1330780.5207,-3141121.5893999995,-1374740.2375999999,-17151.083365429997,-228699.68,-8888101.2,-1730840.76,-4085407.92,-1788015.68,-22307.054923999996,-345423933.0,-67266765.89999999,-158773807.79999998,-69488791.2,-866933.27091,-13099317.57,-30919109.939999998,-13532027.76,-168823.84749299998,-72980241.48,-31940461.919999998,-398485.117506,-13979031.68,-174400.61122399996,-2175.7997185757,38717.38288699999,50356.63159999999,1957041.8189999997,381108.14369999996,899552.5553999998,393697.30159999995,4911.7171781299985,65494.88,2545369.1999999997,495677.16,1169976.72,512050.87999999995,6388.281283999999,98922303.0,19263816.9,45469549.8,19900159.2,248271.84081,3751374.8699999996,8854596.54,3875294.1599999997,48347.67426299999,20900038.68,9147090.719999999,114117.93384599999,4003306.88,49944.74458399999,623.1042451486999,85184.0,3310560.0,644688.0,1521696.0,665984.0,8308.731199999998,128660400.0,25054920.0,59138640.0,25882560.0,322907.508,4879116.0,11516472.0,5040288.0,62881.988399999995,27183024.0,11896896.0,148424.15279999998,5206784.0,64959.1712,810.4223111599999,5000211000.0,973725300.0,2298342600.0,1005890400.0,12549359.969999999,189620190.0,447571980.0,195883920.0,2443822.7309999997,1056431160.0,462356640.0,5768302.301999999,202354560.0,2524549.6079999995,31495.9580019,36926037.0,87158754.0,38145816.0,475902.32129999995,205726068.0,90037872.0,1123300.9745999998,39405888.0,491622.81839999993,6133.423400369999,485587656.0,212521824.0,2651395.0932,93012096.0,1160407.0128,14477.08946754,40707584.0,507862.6111999999,6336.0289781599995,79.04748710921298,314700.0
-117.11,32.76,31.0,2293.0,549.0,1108.0,557.0,3.3854,13714.7521,-3836.5235999999995,-3630.41,-268533.23,-64293.39,-129757.88,-65230.27,-396.464194,1073.2176,1015.56,75118.68,17985.239999999998,36298.079999999994,18247.32,110.905704,961.0,71083.0,17019.0,34348.0,17267.0,104.9474,5257849.0,1258857.0,2540644.0,1277201.0,7762.7222,301401.0,608292.0,305793.0,1858.5846000000001,1227664.0,617156.0,3751.0232,310249.0,1885.6678000000002,11.460933160000002,-1606134.618431,449295.27879599994,425157.3151,31447926.5653,7529398.9029,15195945.3268,7639116.9196999995,46429.92175934,-125684.513136,-118932.2316,-8797148.614799999,-2106251.4563999996,-4250868.1488,-2136943.6452,-12988.16699544,-112542.71,-8324530.13,-1993095.09,-4022494.28,-2022138.3699999999,-12290.390014,-615746696.39,-147424743.27,-297534818.84,-149573009.10999998,-909092.396842,-35297071.11,-71237076.12,-35811418.23,-217658.84250600002,-143771731.04,-72275139.16,-439282.32695200003,-36333260.39,-220830.55605800002,-1342.1898823676001,35158.608576,33269.745599999995,2460887.9568,589196.4623999998,1189125.1007999997,597782.2032,3633.2708630399998,31482.359999999997,2328679.08,557542.44,1125240.48,565666.9199999999,3438.0768239999998,172247133.23999998,41240155.32,83231497.44,41841104.76,254306.77927199999,9873896.76,19927645.919999998,10017778.68,60887.231496,40218272.64,20218030.56,122883.520032,10163757.24,61774.477128,375.4601703216,29791.0,2203573.0,527589.0,1064788.0,535277.0,3253.3694,162993319.0,39024567.0,78759964.0,39593231.0,240644.38820000002,9343431.0,18857052.0,9479583.0,57616.1226,38057584.0,19131836.0,116281.7192,9617719.0,58455.7018,355.28892796,12056247757.0,2886559101.0,5825696692.0,2928621893.0,17799922.0046,691112493.0,1394813556.0,701183349.0,4261734.4878,2815033552.0,1415138708.0,8601096.1976,711400957.0,4323836.265400001,26279.919735880005,165469149.0,333952308.0,167880357.0,1020362.9454000001,673987536.0,338818644.0,2059311.7368,170326701.0,1035231.6222000001,6292.052304840001,1360251712.0,683808848.0,4156133.7056,343755892.0,2089319.9224000003,12698.713941280002,172808693.0,1050316.9646,6383.739770120001,38.79984311986401,204400.0
-117.23,32.86,16.0,1675.0,354.0,604.0,332.0,5.2326,13742.8729,-3852.1778,-1875.68,-196360.25,-41499.42,-70806.92,-38920.36,-613.417698,1079.7796,525.76,55040.5,11632.44,19847.44,10909.52,171.94323599999998,256.0,26800.0,5664.0,9664.0,5312.0,83.7216,2805625.0,592950.0,1011700.0,556100.0,8764.605,125316.0,213816.0,117528.0,1852.3403999999998,364816.0,200528.0,3160.4903999999997,110224.0,1737.2232,27.380102759999996,-1611076.990067,451590.803494,219885.9664,23019312.1075,4864977.0066,8300695.2316000005,4562633.802800001,71910.95673654,-126582.56250800002,-61634.8448,-6452397.815,-1363670.9412,-2326715.3912,-1278923.0296,-20156.90555628,-30010.88,-3141764.0,-663990.72,-1132910.72,-622725.76,-9814.683168,-328903418.75,-69511528.5,-118601591.0,-65191603.0,-1027474.64415,-14690794.68,-25065649.68,-13777807.440000001,-217149.865092,-42767379.68,-23507897.44,-370504.28959199996,-12921559.52,-203654.675736,-3209.7694465547997,35481.557656000004,17276.4736,1808630.83,382241.9784,652186.8783999999,358486.8272,5650.054734959999,8412.16,880648.0,186119.04,317559.04,174552.32,2751.0917759999998,92192837.5,19484337.0,33244462.0,18273446.0,288004.9203,4117883.76,7025993.76,3861970.08,60867.905543999994,11987853.76,6589350.08,103853.71454399999,3621960.64,57085.154352,899.7101766935998,4096.0,428800.0,90624.0,154624.0,84992.0,1339.5456,44890000.0,9487200.0,16187200.0,8897600.0,140233.68,2005056.0,3421056.0,1880448.0,29637.446399999997,5837056.0,3208448.0,50567.846399999995,1763584.0,27795.5712,438.08164415999994,4699421875.0,993191250.0,1694597500.0,931467500.0,14680713.375,209904300.0,358141800.0,196859400.0,3102670.17,611066800.0,335884400.0,5293821.42,184625200.0,2909848.86,45861.672123,44361864.0,75690864.0,41604912.0,655728.5016,129144864.0,70986912.0,1118813.6016,39019296.0,614977.0127999999,9692.556377039999,220348864.0,121118912.0,1908936.2015999998,66575296.0,1049282.8128,16537.58206704,36594368.0,576758.1024,9090.194116319999,143.26912570197598,188300.0
-118.25,34.09,43.0,1903.0,635.0,1919.0,613.0,2.6336,13983.0625,-4031.1425000000004,-5084.75,-225029.75,-75088.75,-226921.75,-72487.25,-311.4232,1162.1281000000001,1465.8700000000001,64873.270000000004,21647.15,65418.71000000001,20897.170000000002,89.779424,1849.0,81829.0,27305.0,82517.0,26359.0,113.2448,3621409.0,1208405.0,3651857.0,1166539.0,5011.7408,403225.0,1218565.0,389255.0,1672.336,3682561.0,1176347.0,5053.8784,375769.0,1614.3968,6.9358489599999995,-1653497.140625,476682.600625,601271.6875,26609767.9375,8879244.6875,26833496.9375,8571617.3125,36825.7934,-137421.64782500002,-173339.1275,-7671264.1775,-2559775.4875000003,-7735762.4575000005,-2471090.3525,-10616.416888000002,-218644.25,-9676279.25,-3228816.25,-9757635.25,-3116951.75,-13391.1976,-428231614.25,-142893891.25,-431832090.25,-137943236.75,-592638.3496,-47681356.25,-144095311.25,-46029403.75,-197753.732,-435462838.25,-139103032.75,-597621.1207999999,-44434684.25,-190902.4216,-820.1641395199999,39616.946929000005,49971.50830000001,2211529.7743,737951.3435000001,2230123.8239000007,712384.5253000001,3060.5805641600004,63032.41,2789550.6100000003,930827.4500000001,2813004.5300000003,898578.31,3860.515232,123453832.81000002,41194526.45,124491805.13000001,39767314.510000005,170850.243872,13745940.250000002,41540880.85,13269702.950000001,57009.93424000001,125538504.49000001,40101669.230000004,172286.714656,12809965.21,55034.786912,236.4430910464,79507.0,3518647.0,1174115.0,3548231.0,1133437.0,4869.5264,155720587.0,51961415.0,157029851.0,50161177.0,215504.85439999998,17338675.0,52398295.0,16737965.0,71910.448,158350123.0,50582921.0,217316.7712,16158067.0,69419.0624,298.24150527999996,6891541327.0,2299594715.0,6949483871.0,2219923717.0,9537342.7424,767337175.0,2318929195.0,740752265.0,3182455.408,7007913583.0,2238588341.0,9617530.595199998,715088407.0,3072197.1104,13198.920570879998,256047875.0,773788775.0,247176925.0,1061933.36,2338426235.0,746980345.0,3209212.7839999995,238613315.0,1025141.968,4404.264089599999,7066834559.0,2257409893.0,9698392.6496,721100711.0,3098027.4592,13309.894154239999,230346397.0,989625.2384,4251.67541248,18.266251821056,174300.0
-118.34,34.11,51.0,937.0,348.0,527.0,333.0,4.3571,14004.3556,-4036.5774,-6035.34,-110884.58,-41182.32,-62365.18,-39407.22,-515.619214,1163.4921,1739.61,31961.07,11870.28,17975.97,11358.63,148.620681,2601.0,47787.0,17748.0,26877.0,16983.0,222.2121,877969.0,326076.0,493799.0,312021.0,4082.6027,121104.0,183396.0,115884.0,1516.2708,277729.0,175491.0,2296.1917,110889.0,1450.9143,18.98432041,-1657275.441704,477688.56951600005,714222.1356,13122081.1972,4873515.7488,7380295.4012,4663450.4148,61018.37778476001,-137687.655114,-205865.4474,-3782273.0238,-1404728.9352000002,-2127276.2898000004,-1344180.2741999999,-17587.77138954,-307802.34,-5655113.58,-2100298.32,-3180624.18,-2009768.22,-26296.579913999998,-103898851.46000001,-38587833.84,-58436173.660000004,-36924565.14,-483135.203518,-14331447.360000001,-21703082.64,-13713712.56,-179435.48647200002,-32866449.86,-20767604.94,-271731.325778,-13122604.26,-171701.198262,-2246.6044773194,39686.715530999994,59338.0971,1090192.0977,404895.25080000004,613160.3367,387442.86929999996,5069.45142891,88720.11,1630014.57,605384.28,916774.47,579290.13,7579.654731,29947522.59,11122452.36,16843483.89,10643036.31,139257.578097,4130857.44,6255637.56,3952803.2399999998,51719.996988,9473336.19,5985998.01,78323.098887,3782423.79,49490.686772999994,647.5551691851,132651.0,2437137.0,905148.0,1370727.0,866133.0,11332.8171,44776419.0,16629876.0,25183749.0,15913071.0,208212.7377,6176304.0,9353196.0,5910084.0,77329.8108,14164179.0,8950041.0,117105.77669999999,5655339.0,73996.6293,968.2003409099999,822656953.0,305533212.0,462689663.0,292363677.0,3825398.7299,113474448.0,171842052.0,108583308.0,1420745.7396,260232073.0,164435067.0,2151531.6229,103902993.0,1359506.6990999999,17788.30822417,42144192.0,63821808.0,40327632.0,527662.2384,96649692.0,61070868.0,799074.7115999999,38589372.0,504918.1764,6606.54350268,146363183.0,92483757.0,1210093.0259,58438503.0,764631.8361,10004.73685607,36926037.0,483154.4619,6321.778696529999,82.716582458411,468800.0
-117.87,33.61,25.0,2267.0,359.0,866.0,348.0,7.79,13893.3369,-3961.6107,-2946.75,-267211.29000000004,-42315.33,-102075.42,-41018.76,-918.2073,1129.6321,840.25,76193.87,12065.99,29106.26,11696.28,261.82189999999997,625.0,56675.0,8975.0,21650.0,8700.0,194.75,5139289.0,813853.0,1963222.0,788916.0,17659.93,128881.0,310894.0,124932.0,2796.61,749956.0,301368.0,6746.14,121104.0,2710.92,60.6841,-1637607.6204030002,466955.05320900003,347333.4225,31496194.752300005,4987707.9471,12031629.7554,4834881.2412,108229.09445100001,-133149.73562700002,-99040.2675,-8980971.4569,-1422218.2413,-3430754.8662,-1378640.5236000002,-30860.947353,-73668.75,-6680282.25,-1057883.25,-2551885.5,-1025469.0,-22955.182500000003,-605767994.4300001,-95928853.11,-231404977.14000002,-92989528.92,-2081575.9491,-15191203.47,-36645075.78,-14725734.84,-329636.4207,-88397313.72,-35522246.160000004,-795167.5218000001,-14274528.48,-319536.14040000003,-7152.8348670000005,37966.934881,28240.802499999998,2560875.9707,405537.9239,978261.3986,393111.9708,8799.834058999999,21006.25,1904846.75,301649.75,727656.5,292407.0,6545.5475,172731503.29,27353599.33,65983891.42,26515466.759999998,593550.2473,4331690.41,10449147.34,4198964.52,93994.0621,25206021.16,10128978.48,226737.7654,4070305.44,91114.0212,2039.592601,15625.0,1416875.0,224375.0,541250.0,217500.0,4868.75,128482225.0,20346325.0,49080550.0,19722900.0,441498.25,3222025.0,7772350.0,3123300.0,69915.25,18748900.0,7534200.0,168653.5,3027600.0,67773.0,1517.1025,11650768163.0,1845004751.0,4450624274.0,1788472572.0,40035061.31,292173227.0,704796698.0,283220844.0,6339914.87,1700150252.0,683201256.0,15293499.38,274542768.0,6145655.640000001,137570.8547,46268279.0,111610946.0,44850588.0,1003982.99,269234204.0,108191112.0,2421864.2600000002,43476336.0,973220.28,21785.5919,649461896.0,260984688.0,5842157.24,104876064.0,2347656.72,52552.4306,42144192.0,943400.16,21118.0668,472.72913900000003,500001.0
