longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,longitude_rep1,longitude_rep2,longitude_rep3,longitude_rep4,longitude_rep5,median_house_value
-116.95,33.75,23.0,4676.0,1096.0,2770.0,1057.0,1.7847,-116.95,-116.95,-116.95,-116.95,-116.95,109500.0
-117.3,34.05,7.0,4672.0,1121.0,2534.0,1046.0,3.4228,-117.3,-117.3,-117.3,-117.3,-117.3,115700.0
-118.55,34.27,25.0,4919.0,661.0,2183.0,625.0,8.1356,-118.55,-118.55,-118.55,-118.55,-118.55,352800.0
-119.68,36.32,28.0,1325.0,276.0,873.0,240.0,2.5833,-119.68,-119.68,-119.68,-119.68,-119.68,54400.0
-118.13,33.83,44.0,1710.0,333.0,786.0,344.0,4.2917,-118.13,-118.13,-118.13,-118.13,-118.13,314700.0
-117.11,32.76,31.0,2293.0,549.0,1108.0,557.0,3.3854,-117.11,-117.11,-117.11,-117.11,-117.11,204400.0
-117.23,32.86,16.0,1675.0,354.0,604.0,332.0,5.2326,-117.23,-117.23,-117.23,-117.23,-117.23,188300.0
-118.25,34.09,43.0,1903.0,635.0,1919.0,613.0,2.6336,-118.25,-118.25,-118.25,-118.25,-118.25,174300.0
-118.34,34.11,51.0,937.0,348.0,527.0,333.0,4.3571,-118.34,-118.34,-118.34,-118.34,-118.34,468800.0
-117.87,33.61,25.0,2267.0,359.0,866.0,348.0,7.79,-117.87,-117.87,-117.87,-117.87,-117.87,500001.0
-121.94,37.95,18.0,2541.0,355.0,986.0,346.0,7.1978,-121.94,-121.94,-121.94,-121.94,-121.94,288000.0
-118.4,34.7,10.0,4122.0,814.0,2164.0,710.0,4.2941,-118.4,-118.4,-118.4,-118.4,-118.4,151600.0
-117.01,33.04,13.0,4595.0,567.0,1643.0,544.0,7.7684,-117.01,-117.01,-117.01,-117.01,-117.01,362300.0
-120.62,35.11,18.0,2241.0,544.0,1521.0,509.0,2.0292,-120.62,-120.62,-120.62,-120.62,-120.62,155800.0
-121.32,37.95,40.0,964.0,230.0,742.0,209.0,1.2625,-121.32,-121.32,-121.32,-121.32,-121.32,43000.0
