title	author	year	bookID	bookID_encoded	fiction	non-fiction	mystery	thriller	romance	science fiction	fantasy	historical fiction	biography	autobiography	history	science	technology	health	cooking	travel	poetry	drama	children's literature	young adult	crime	horror	comedy	adventure
The Testament	John Grisham	1999	0440234743	239	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Beloved (Plume Contemporary Fiction)	Toni Morrison	1994	0452264464	310	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wild Animus	Rich Shapero	2004	0971880107	449	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Airframe	Michael Crichton	1997	0345402871	117	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Timeline	MICHAEL CRICHTON	2000	0345417623	122	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
To Kill a Mockingbird	Harper Lee	1988	0446310786	252	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Seabiscuit: An American Legend	LAURA HILLENBRAND	2002	0449005615	284	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
From the Corner of His Eye	Dean Koontz	2001	0553582747	358	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Isle of Dogs	Patricia Cornwell	2002	0425182908	213	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1
The Street Lawyer	JOHN GRISHAM	1999	0440225701	236	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
The Joy Luck Club	Amy Tan	1994	0804106304	434	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
The Tao of Pooh	Benjamin Hoff	1983	0140067477	38	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Seabiscuit	LAURA HILLENBRAND	2003	0345465083	131	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
