userID	bookID	bookRating	bookID_encoded
1168	002542730X	10	0
1168	0061009059	9	27
1168	0316776963	8	86
1168	0345413903	10	121
1168	0385486804	9	176
1168	0385504209	8	181
1168	0399501487	9	198
1168		7	467
1168	0452284449	6	315
1168	0553280368	9	345
1168	0679731148	9	392
1168	0743412028	9	418
1169	0345337662	7	95
1169	0446606812	7	267
1169	0804106304	8	434
1169	1558744150	9	456
1170	0440225701	9	236
1171	0394820371	8	194
1171	0515130389	8	319
1171	0515131229	8	320
0	0142001740	9	49
0	0380789035	10	158
0		9	467
0	0439064872	9	215
0	0439136350	9	216
0		9	467
0	0439139597	9	217
0	0451167317	8	296
0	0451524934	9	307
0	0451526341	8	308
0	0590353403	9	360
0	0671021001	7	372
1	0316666343	10	82
1	0316693006	10	83
1	0316693200	9	84
1	0316769487	10	85
1	0316776963	10	86
1	0316789089	10	90
1	0316969443	10	92
1	0345339711	10	98
1	0385420161	9	169
1	0385504209	10	181
1	0385505833	10	182
1	0446531332	10	258
1	0670892963	7	364
1	0679746048	7	396
2	0099771519	9	37
2	0385504209	9	181
3	0060930535	7	15
3	0061015725	8	29
3		5	467
3	0099771519	8	37
3	0142001430	7	48
3	0385720106	7	188
3	0767902521	8	423
3	0804106304	6	434
4	051513287X	9	323
4	059035342X	10	361
4	0971880107	1	449
5	0316777730	10	87
5	0812550706	10	442
6	0345337662	5	95
6		9	467
6	0439136350	9	216
6	0439139597	9	217
6	043935806X	9	218
6	0590353403	9	360
7	0060987529	7	24
7	0151008116	5	52
7	059035342X	10	361
8	0380002930	9	149
8	0385505833	5	182
8	0425172546	9	209
8	0425182908	4	213
8	0440221471	10	229
8		10	467
8		10	467
8	0805063897	10	440
9	0060958022	8	19
9	0316666343	9	82
9	0440211263	8	221
9	0440219078	8	228
9	0440221595	8	230
9	0446310786	10	252
9	0446611867	7	277
9	0449005615	9	284
9	0553279912	7	343
9	0767902521	8	423
9	0971880107	6	449
10	0060928336	6	13
10	0142001740	7	49
10		5	467
10	0452260116	8	309
10	0671003755	7	366
10	0804106304	7	434
10	140003065X	9	450
10	1400032717	8	452
11	0142001430	7	48
11		7	467
11	037570504X	5	141
11	0375725784	3	145
11	0452282152	7	312
11	0671021001	9	372
12	0316096199	10	77
12	0446672211	10	281
12	0671027344	9	375
13	014029628X	6	45
13	0345337662	7	95
13	0345348036	9	101
13	0345351525	8	103
13	034538475X	8	113
13	0345413350	7	119
13	0804114986	10	438
14	0060915544	8	9
14	0060929871	9	14
14	0140244824	10	42
14		9	467
14	0316096199	10	77
14	0316666343	10	82
14	0316899984	5	91
14	0345424719	10	123
14	0345443284	10	128
14	037570504X	10	141
